customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_calls,late_payments,churned,churn_probability,estimated_clv,clv_at_risk,risk_category,value_category,retention_strategy
CUST_000012,33,F,25.7,67.57,1804.94,Month-to-month,Bank transfer,No,1,1,0,0.2957858547423031,1621.6799999999998,479.6700049184981,Low Risk,Medium Value,No Action Required
CUST_000013,43,M,13.9,71.2,1054.29,Two year,Bank transfer,Fiber optic,1,2,0,0.04477498531214558,1708.8000000000002,76.51149490139437,Low Risk,Medium Value,No Action Required
CUST_000014,18,F,1.1,38.24,152.23,One year,Bank transfer,Fiber optic,1,2,0,0.07308626604300023,917.76,67.07565152362389,Low Risk,Low Value,No Action Required
CUST_000015,18,M,60.7,82.17,4857.86,Two year,Mailed check,DSL,2,0,0,0.0,1972.08,0.0,,High Value,No Action Required
CUST_000016,31,M,15.3,55.04,879.52,Month-to-month,Electronic check,Fiber optic,2,0,1,0.4903783318718336,1320.96,647.7701612694174,Medium Risk,Medium Value,Basic Monitoring
CUST_000017,24,F,1.0,20.0,-52.75,One year,Bank transfer,Fiber optic,1,0,0,0.139708784353596,480.0,67.06021648972607,Low Risk,Low Value,No Action Required
CUST_000018,44,F,28.1,81.5,2167.56,Month-to-month,Mailed check,No,3,1,1,0.36279692903985905,1956.0,709.6307932019643,Medium Risk,High Value,Proactive Engagement
CUST_000019,26,F,15.8,37.08,542.18,Month-to-month,Bank transfer,Fiber optic,3,0,1,0.5229549972372278,889.92,465.38811114135376,Medium Risk,Low Value,Basic Monitoring
CUST_000020,18,M,3.2,38.81,230.54,Month-to-month,Electronic check,No,2,2,1,0.5343584089626392,931.44,497.7227964441607,Medium Risk,Low Value,Basic Monitoring
CUST_000021,61,F,5.8,82.2,438.48,One year,Bank transfer,No,2,2,0,0.13496831016400584,1972.8000000000002,266.26548229155077,Low Risk,High Value,No Action Required
CUST_000022,36,M,1.6,56.32,246.66,Month-to-month,Bank transfer,No,2,1,0,0.47792974653425296,1351.68,646.0080797954191,Medium Risk,Medium Value,Basic Monitoring
CUST_000023,41,M,20.5,87.94,1857.41,Two year,Credit card,DSL,2,3,0,0.08053201491229786,2110.56,169.96764939329938,Low Risk,High Value,No Action Required
CUST_000024,18,F,23.4,95.25,2184.83,One year,Credit card,DSL,3,1,0,0.24282188775333485,2286.0,555.0908354041235,Low Risk,High Value,No Action Required
CUST_000025,31,M,16.9,48.88,942.65,Month-to-month,Credit card,Fiber optic,5,0,0,0.45046160702602517,1173.1200000000001,528.4455204343707,Medium Risk,Low Value,Basic Monitoring
CUST_000026,41,F,40.8,84.83,3503.28,One year,Credit card,Fiber optic,2,2,0,0.10611437877711567,2035.92,216.04038603990534,Low Risk,High Value,No Action Required
CUST_000027,22,M,47.4,46.11,2090.69,Month-to-month,Bank transfer,DSL,2,1,0,0.3019013635735874,1106.6399999999999,334.0961249850747,Medium Risk,Low Value,Basic Monitoring
CUST_000028,45,F,22.9,120.83,2958.55,Month-to-month,Bank transfer,Fiber optic,1,2,0,0.45186379447688924,2899.92,1310.3688548794207,Medium Risk,High Value,Proactive Engagement
CUST_000029,30,M,1.0,47.68,73.62,One year,Credit card,Fiber optic,0,1,0,0.0,1144.32,0.0,,Low Value,No Action Required
CUST_000030,35,M,28.5,90.65,2586.98,Two year,Electronic check,DSL,2,2,0,0.4071847527697836,2175.6000000000004,885.8711481259413,Medium Risk,High Value,Proactive Engagement
CUST_000031,30,F,13.0,86.09,1032.89,Month-to-month,Mailed check,Fiber optic,0,1,0,0.3731718804973552,2066.16,771.0328126084154,Medium Risk,High Value,Proactive Engagement
CUST_000032,67,M,20.0,72.9,1576.62,Two year,Bank transfer,No,3,0,0,0.06584588768809459,1749.6000000000001,115.2039650990903,Low Risk,Medium Value,No Action Required
CUST_000033,39,F,25.1,48.24,1264.04,One year,Credit card,Fiber optic,3,0,0,0.0,1157.76,0.0,,Low Value,No Action Required
CUST_000034,24,M,10.3,61.22,696.35,Month-to-month,Mailed check,Fiber optic,2,0,0,0.43372430137475276,1469.28,637.2624415238968,Medium Risk,Medium Value,Basic Monitoring
CUST_000035,52,M,59.8,20.0,1144.5,One year,Credit card,DSL,0,1,0,0.0,480.0,0.0,,Low Value,No Action Required
CUST_000036,21,M,3.5,70.61,327.17,One year,Credit card,Fiber optic,3,1,0,0.21756444306427225,1694.6399999999999,368.6934077944383,Low Risk,Medium Value,No Action Required
CUST_000037,43,F,26.7,73.74,2061.38,Month-to-month,Electronic check,No,3,1,0,0.37101915818751213,1769.7599999999998,656.6148653939314,Medium Risk,Medium Value,Basic Monitoring
CUST_000038,18,F,1.0,68.34,1.46,Two year,Electronic check,Fiber optic,3,2,0,0.31541734178188796,1640.16,517.3349072969813,Medium Risk,Medium Value,Basic Monitoring
CUST_000039,20,F,62.1,20.0,1099.4,One year,Bank transfer,DSL,2,0,0,0.0,480.0,0.0,,Low Value,No Action Required
CUST_000040,42,F,2.9,33.36,153.69,Month-to-month,Credit card,Fiber optic,2,1,0,0.24373721124780107,800.64,195.14576081343944,Low Risk,Low Value,No Action Required
CUST_000041,51,F,2.4,46.3,-46.56,Two year,Mailed check,No,2,1,0,0.006464126985364443,1111.1999999999998,7.182937906136968,Low Risk,Low Value,No Action Required
CUST_000042,42,M,9.7,72.29,717.83,Month-to-month,Bank transfer,DSL,0,0,1,0.4449593726784474,1734.96,771.9867132221991,Medium Risk,Medium Value,Basic Monitoring
CUST_000043,38,M,11.2,72.23,766.1,Two year,Electronic check,Fiber optic,2,2,0,0.21034430022557504,1733.52,364.63605132703884,Low Risk,Medium Value,No Action Required
CUST_000044,35,F,5.8,60.74,473.48,Month-to-month,Bank transfer,DSL,0,0,0,0.3330829434855812,1457.76,485.5549916955409,Medium Risk,Medium Value,Basic Monitoring
CUST_000045,18,M,21.1,80.88,1668.48,One year,Bank transfer,Fiber optic,2,0,0,0.08733445728402378,1941.12,169.52666172316424,Low Risk,High Value,No Action Required
CUST_000046,29,M,14.0,39.34,663.15,Month-to-month,Credit card,Fiber optic,2,2,0,0.39148415162344213,944.1600000000001,369.62367659678915,Medium Risk,Low Value,Basic Monitoring
CUST_000047,33,M,1.0,80.26,28.83,One year,Mailed check,No,4,2,0,0.3660776520997361,1926.2400000000002,705.1534165805957,Medium Risk,High Value,Proactive Engagement
CUST_000048,55,M,9.2,76.87,810.54,Month-to-month,Electronic check,Fiber optic,2,2,0,0.5953422975926957,1844.88,1098.3350979828126,Medium Risk,High Value,Proactive Engagement
CUST_000049,45,F,39.9,74.44,3177.06,Month-to-month,Bank transfer,Fiber optic,2,0,1,0.321763906411901,1786.56,574.8505246392458,Medium Risk,Medium Value,Basic Monitoring
CUST_000050,18,M,28.1,60.45,1590.92,Month-to-month,Bank transfer,No,2,0,1,0.3118745750429169,1450.8000000000002,452.46763347226386,Medium Risk,Medium Value,Basic Monitoring
CUST_000051,44,F,31.0,110.77,3459.97,Two year,Credit card,DSL,0,2,0,0.0,2658.48,0.0,,High Value,No Action Required
CUST_000052,34,F,28.7,77.33,2497.74,Month-to-month,Bank transfer,Fiber optic,3,1,0,0.327943909071367,1855.92,608.6376597237314,Medium Risk,High Value,Proactive Engagement
CUST_000053,29,M,8.9,40.79,371.31,One year,Mailed check,Fiber optic,3,1,0,0.0,978.96,0.0,,Low Value,No Action Required
CUST_000054,49,F,2.5,71.21,185.6,Two year,Credit card,DSL,2,1,0,0.16142761413413215,1709.04,275.8862496597972,Low Risk,Medium Value,No Action Required
CUST_000055,55,M,7.6,83.81,718.7,Two year,Electronic check,DSL,1,0,0,0.3635135640446734,2011.44,731.1857232620179,Medium Risk,High Value,Proactive Engagement
CUST_000056,53,M,42.8,50.3,2155.84,Month-to-month,Bank transfer,Fiber optic,4,2,0,0.23357999317930317,1207.1999999999998,281.97776776605474,Low Risk,Low Value,No Action Required
CUST_000057,27,M,94.5,92.23,8541.52,Two year,Bank transfer,DSL,2,2,0,0.14791171774462314,2213.52,327.4055454620782,Low Risk,High Value,No Action Required
CUST_000058,35,F,16.3,74.55,1331.54,Month-to-month,Credit card,DSL,1,1,0,0.24779682561522465,1789.1999999999998,443.3580803907599,Low Risk,Medium Value,No Action Required
CUST_000059,44,F,1.0,20.0,-180.29,One year,Bank transfer,No,3,1,0,0.039519599966725875,480.0,18.96940798402842,Low Risk,Low Value,No Action Required
CUST_000060,54,F,3.6,72.49,220.81,One year,Electronic check,Fiber optic,1,1,0,0.3955903542270708,1739.7599999999998,688.2322746700886,Medium Risk,Medium Value,Basic Monitoring
CUST_000061,32,M,9.3,54.85,632.46,Month-to-month,Mailed check,No,2,1,1,0.38367380184000394,1316.4,505.0681927421812,Medium Risk,Medium Value,Basic Monitoring
CUST_000062,37,M,20.7,78.43,1590.92,Month-to-month,Mailed check,DSL,1,0,0,0.35974121727795516,1882.3200000000002,677.1480881066407,Medium Risk,High Value,Proactive Engagement
CUST_000063,23,M,1.9,88.61,96.63,Month-to-month,Credit card,No,1,2,0,0.38466443539330314,2126.64,818.0427748848141,Medium Risk,High Value,Proactive Engagement
CUST_000064,22,F,68.9,69.88,4902.86,Month-to-month,Bank transfer,Fiber optic,3,3,1,0.4803669249636638,1677.12,805.6329771950598,Medium Risk,Medium Value,Basic Monitoring
CUST_000065,52,M,10.9,106.63,1077.41,Two year,Credit card,No,0,1,0,0.16972003597071164,2559.12,434.3339384533676,Low Risk,High Value,No Action Required
CUST_000066,60,M,58.5,60.53,3418.31,Month-to-month,Credit card,DSL,1,1,0,0.3404916661151096,1452.72,494.63905319874203,Medium Risk,Medium Value,Basic Monitoring
CUST_000067,38,F,36.4,80.62,2961.72,Two year,Credit card,Fiber optic,1,1,0,0.03214763820209812,1934.88,62.20182220447562,Low Risk,High Value,No Action Required
CUST_000068,55,F,33.8,85.12,2858.78,Month-to-month,Credit card,Fiber optic,2,0,0,0.5129769933842891,2042.88,1047.9504402448968,Medium Risk,High Value,Proactive Engagement
CUST_000069,45,F,22.4,62.57,1276.97,Two year,Credit card,Fiber optic,3,0,0,0.1870443207327375,1501.68,280.88071555793726,Low Risk,Medium Value,No Action Required
CUST_000070,30,M,23.7,84.47,2061.76,One year,Bank transfer,No,2,3,0,0.0,2027.28,0.0,,High Value,No Action Required
CUST_000071,45,M,24.4,50.13,1269.04,Two year,Mailed check,DSL,3,1,0,0.0926355741708366,1203.1200000000001,111.45171199641693,Low Risk,Low Value,No Action Required
CUST_000072,63,M,23.8,54.44,1258.47,Month-to-month,Mailed check,No,2,2,0,0.19202593596826045,1306.56,250.89340689869036,Low Risk,Low Value,No Action Required
CUST_000073,39,F,19.4,32.19,594.15,One year,Mailed check,No,3,1,1,0.05096768435010928,772.56,39.37559422152042,Low Risk,Low Value,No Action Required
CUST_000074,63,F,103.2,71.04,7375.69,Month-to-month,Bank transfer,Fiber optic,1,2,0,0.12223239193526153,1704.96,208.4013389539435,Low Risk,Medium Value,No Action Required
CUST_000075,18,F,31.6,73.13,2432.07,Month-to-month,Bank transfer,DSL,1,0,0,0.34032382214992746,1755.12,597.3091467317806,Medium Risk,Medium Value,Basic Monitoring
CUST_000076,52,F,36.0,94.48,3373.84,One year,Credit card,No,1,2,0,0.0,2267.52,0.0,,High Value,No Action Required
CUST_000077,41,M,49.4,84.78,4255.59,One year,Mailed check,Fiber optic,3,0,0,0.004117895155254653,2034.72,8.378763630299748,Low Risk,High Value,No Action Required
CUST_000078,35,M,5.8,57.88,393.92,Month-to-month,Credit card,No,3,1,0,0.3567905825388735,1389.1200000000001,495.6249340164,Medium Risk,Medium Value,Basic Monitoring
CUST_000079,41,M,2.1,35.55,162.6,One year,Mailed check,No,2,1,0,0.026544927946838867,853.1999999999999,22.648132524242918,Low Risk,Low Value,No Action Required
CUST_000080,18,M,15.8,75.82,1204.04,One year,Electronic check,DSL,0,3,0,0.2292591498018918,1819.6799999999998,417.1782897115064,Low Risk,Medium Value,No Action Required
CUST_000081,36,M,17.3,92.77,1515.63,Month-to-month,Bank transfer,Fiber optic,1,4,0,0.41019858415807176,2226.48,913.2989436562636,Medium Risk,High Value,Proactive Engagement
CUST_000082,45,M,42.4,83.88,3511.23,One year,Electronic check,Fiber optic,2,1,1,0.23460688099157714,2013.12,472.29180426176373,Low Risk,High Value,No Action Required
CUST_000083,62,M,14.1,92.11,1331.07,One year,Mailed check,No,2,2,0,0.08231318714111269,2210.64,181.96482402162934,Low Risk,High Value,No Action Required
CUST_000084,32,M,20.3,59.7,1393.99,Month-to-month,Credit card,DSL,2,2,0,0.48607090960530797,1432.8000000000002,696.4423992824853,Medium Risk,Medium Value,Basic Monitoring
CUST_000085,27,F,18.0,53.33,910.1,One year,Bank transfer,DSL,0,0,0,0.0,1279.92,0.0,,Low Value,No Action Required
CUST_000086,32,F,1.0,46.58,127.06,One year,Bank transfer,No,3,1,1,0.11267086884715438,1117.92,125.95701770161084,Low Risk,Low Value,No Action Required
CUST_000087,53,M,22.9,63.6,1425.07,Two year,Credit card,DSL,3,2,0,0.0772652423526618,1526.4,117.93766592710298,Low Risk,Medium Value,No Action Required
CUST_000088,44,F,42.3,63.04,2674.43,Month-to-month,Electronic check,Fiber optic,2,2,0,0.42911080476417507,1512.96,649.2274831760063,Medium Risk,Medium Value,Basic Monitoring
CUST_000089,32,M,4.1,70.17,440.15,Two year,Electronic check,DSL,1,1,1,0.07427300011760885,1684.08,125.0816740380627,Low Risk,Medium Value,No Action Required
CUST_000090,47,M,21.7,61.77,1413.9,Month-to-month,Electronic check,Fiber optic,4,2,0,0.4590722085028675,1482.48,680.565367661331,Medium Risk,Medium Value,Basic Monitoring
CUST_000091,41,F,21.6,61.66,1208.37,Month-to-month,Electronic check,Fiber optic,2,2,0,0.2779510327335202,1479.84,411.3230562803725,Low Risk,Medium Value,No Action Required
CUST_000092,54,M,4.3,45.58,138.96,Month-to-month,Bank transfer,Fiber optic,4,3,1,0.8040116884691599,1093.92,879.5244662501835,High Risk,Low Value,Standard Retention Outreach
CUST_000093,29,M,3.2,88.54,405.64,Two year,Mailed check,No,1,1,0,0.2114155290633431,2124.96,449.24954263844154,Low Risk,High Value,No Action Required
CUST_000094,35,M,94.0,66.91,6300.72,One year,Credit card,DSL,2,0,0,0.07559753608306291,1605.84,121.39754734362573,Low Risk,Medium Value,No Action Required
CUST_000095,34,M,12.0,60.64,613.38,Month-to-month,Mailed check,DSL,2,1,0,0.3981408072296491,1455.3600000000001,579.4382052097421,Medium Risk,Medium Value,Basic Monitoring
CUST_000096,18,M,6.2,46.31,204.91,Month-to-month,Mailed check,Fiber optic,0,0,0,0.34245292931308524,1111.44,380.61588375573547,Medium Risk,Low Value,Basic Monitoring
CUST_000097,44,M,4.5,31.7,213.33,Month-to-month,Electronic check,Fiber optic,1,1,1,0.8303044698086693,760.8,631.6956406304356,High Risk,Low Value,Standard Retention Outreach
CUST_000098,43,M,26.4,97.7,2682.03,Month-to-month,Mailed check,Fiber optic,2,2,0,0.3835466593077677,2344.8,899.3402067448538,Medium Risk,High Value,Proactive Engagement
CUST_000099,40,F,22.6,78.87,1781.36,One year,Electronic check,DSL,5,0,0,0.34272274831399013,1892.88,648.7330358285857,Medium Risk,High Value,Proactive Engagement
CUST_000100,36,F,24.8,24.4,851.67,One year,Electronic check,No,4,3,0,0.5610001814597121,585.5999999999999,328.52170626280736,Medium Risk,Low Value,Basic Monitoring
CUST_000101,18,M,2.2,84.08,268.31,Two year,Mailed check,Fiber optic,4,2,0,0.3667299873180225,2017.92,740.0317760087839,Medium Risk,High Value,Proactive Engagement
CUST_000102,33,F,53.8,88.06,4709.73,Two year,Credit card,DSL,2,1,1,0.1835045929804841,2113.44,387.82594698867433,Low Risk,High Value,No Action Required
CUST_000103,34,M,11.8,68.11,724.45,One year,Mailed check,Fiber optic,3,0,0,0.23938332446988328,1634.6399999999999,391.30555751145,Low Risk,Medium Value,No Action Required
CUST_000104,27,M,9.0,104.95,849.5,Month-to-month,Mailed check,DSL,1,2,0,0.4146753457072545,2518.8,1044.4842607674327,Medium Risk,High Value,Proactive Engagement
CUST_000105,37,M,14.9,70.42,1082.32,Month-to-month,Bank transfer,DSL,4,2,0,0.4687024820903659,1690.08,792.1446909312856,Medium Risk,Medium Value,Basic Monitoring
CUST_000106,46,M,11.9,29.58,302.1,One year,Electronic check,DSL,3,2,1,0.209080463321591,709.92,148.4304025212639,Low Risk,Low Value,No Action Required
CUST_000107,68,F,47.8,74.13,3711.34,Month-to-month,Bank transfer,DSL,2,0,0,0.13717178281185452,1779.12,244.0450622362266,Low Risk,Medium Value,No Action Required
CUST_000108,42,F,63.6,71.12,4667.9,One year,Credit card,DSL,1,1,1,0.08367972180946409,1706.88,142.83124356213807,Low Risk,Medium Value,No Action Required
CUST_000109,43,F,8.7,49.92,496.54,Two year,Mailed check,Fiber optic,2,2,1,0.19570358639551602,1198.08,234.46855278873983,Low Risk,Low Value,No Action Required
CUST_000110,38,F,47.9,79.34,3680.14,Two year,Bank transfer,Fiber optic,4,1,0,0.0,1904.16,0.0,,High Value,No Action Required
CUST_000111,18,M,36.5,23.31,783.67,Month-to-month,Bank transfer,Fiber optic,3,0,1,0.22827919369261912,559.4399999999999,127.70851211939883,Low Risk,Low Value,No Action Required
CUST_000112,39,F,64.1,89.76,5879.52,Month-to-month,Mailed check,DSL,2,0,0,0.3556083397586827,2154.2400000000002,766.0657098417447,Medium Risk,High Value,Proactive Engagement
CUST_000113,40,M,6.8,43.05,235.07,Two year,Mailed check,No,2,1,0,0.11513877418009283,1033.1999999999998,118.96138148287189,Low Risk,Low Value,No Action Required
CUST_000114,76,M,20.6,40.38,945.86,Two year,Electronic check,No,1,0,0,0.404500091108142,969.1200000000001,392.00912829472264,Medium Risk,Low Value,Basic Monitoring
CUST_000115,37,F,7.7,62.15,526.23,Month-to-month,Electronic check,No,5,0,1,0.6873061882455387,1491.6,1025.1859103870454,Medium Risk,Medium Value,Basic Monitoring
CUST_000116,44,M,41.7,75.82,3167.61,One year,Bank transfer,DSL,3,0,0,0.0,1819.6799999999998,0.0,,Medium Value,No Action Required
CUST_000117,39,F,1.0,69.1,-1.19,One year,Mailed check,Fiber optic,2,1,0,0.16498573741136285,1658.3999999999999,273.6123469230041,Low Risk,Medium Value,No Action Required
CUST_000118,22,F,20.0,46.43,917.75,Month-to-month,Electronic check,DSL,2,0,1,0.4649796908092126,1114.32,518.1361690625217,Medium Risk,Low Value,Basic Monitoring
CUST_000119,57,F,9.9,52.35,539.48,Month-to-month,Electronic check,No,4,0,1,0.6995023869512136,1256.4,878.8547989655048,Medium Risk,Low Value,Basic Monitoring
CUST_000120,51,F,9.4,36.67,446.18,Two year,Credit card,DSL,3,0,0,0.04129400902068203,880.08,36.342031458921845,Low Risk,Low Value,No Action Required
CUST_000121,51,F,24.8,59.38,1387.03,One year,Bank transfer,DSL,1,0,0,0.02329802549559083,1425.1200000000001,33.202482094276405,Low Risk,Medium Value,No Action Required
CUST_000122,26,M,45.8,91.88,4178.82,Month-to-month,Bank transfer,Fiber optic,2,1,0,0.332430955711099,2205.12,733.0501490576586,Medium Risk,High Value,Proactive Engagement
CUST_000123,61,F,22.5,64.89,1467.77,One year,Bank transfer,Fiber optic,3,1,0,0.06824799707485645,1557.3600000000001,106.28670072449844,Low Risk,Medium Value,No Action Required
CUST_000124,18,F,46.0,86.49,4048.4,One year,Mailed check,Fiber optic,1,0,0,0.08574581402723014,2075.7599999999998,177.98773092516322,Low Risk,High Value,No Action Required
CUST_000125,48,M,7.4,101.39,656.98,Two year,Credit card,DSL,0,1,0,0.0,2433.36,0.0,,High Value,No Action Required
CUST_000126,72,F,17.6,50.3,753.13,Month-to-month,Electronic check,Fiber optic,0,0,1,0.32484734256387315,1207.1999999999998,392.15571194310763,Medium Risk,Low Value,Basic Monitoring
CUST_000127,25,F,14.4,60.34,934.51,Two year,Credit card,No,1,0,0,0.0,1448.16,0.0,,Medium Value,No Action Required
CUST_000128,31,M,1.0,119.28,-32.52,Month-to-month,Electronic check,No,0,0,1,0.748000258930618,2862.7200000000003,2141.315301245859,High Risk,High Value,Premium Retention Program
CUST_000129,41,M,19.5,101.11,2103.18,One year,Electronic check,Fiber optic,2,1,0,0.1848321559886518,2426.64,448.52110300830196,Low Risk,High Value,No Action Required
CUST_000130,32,F,26.0,23.19,587.33,One year,Credit card,Fiber optic,1,0,0,0.037459115155721916,556.5600000000001,20.84824513106859,Low Risk,Low Value,No Action Required
CUST_000131,18,M,21.5,74.68,1451.64,Month-to-month,Bank transfer,DSL,1,1,0,0.3598495735728614,1792.3200000000002,644.965587706111,Medium Risk,Medium Value,Basic Monitoring
CUST_000132,41,F,32.0,65.01,2031.68,Month-to-month,Mailed check,DSL,0,0,0,0.3540266258278452,1560.2400000000002,552.3665026816373,Medium Risk,Medium Value,Basic Monitoring
CUST_000133,24,M,20.3,85.66,1779.42,Two year,Credit card,DSL,1,0,0,0.0,2055.84,0.0,,High Value,No Action Required
CUST_000134,47,F,1.7,46.38,23.62,One year,Bank transfer,Fiber optic,1,0,0,0.0,1113.1200000000001,0.0,,Low Value,No Action Required
CUST_000135,26,F,3.0,44.01,132.77,Month-to-month,Bank transfer,Fiber optic,1,0,0,0.268777561389843,1056.24,283.89361144240775,Low Risk,Low Value,No Action Required
CUST_000136,63,F,21.8,48.1,1121.61,Month-to-month,Mailed check,Fiber optic,5,2,1,0.7470935203727675,1154.4,862.4447599183229,High Risk,Low Value,Standard Retention Outreach
CUST_000137,28,M,7.7,50.7,371.06,Month-to-month,Mailed check,DSL,2,1,0,0.4455426297197458,1216.8000000000002,542.1362718429867,Medium Risk,Low Value,Basic Monitoring
CUST_000138,35,F,2.0,85.38,76.37,Month-to-month,Bank transfer,Fiber optic,2,2,1,0.6340582910345224,2049.12,1299.2615253246604,Medium Risk,High Value,Proactive Engagement
CUST_000139,52,M,13.5,35.47,448.03,Two year,Mailed check,DSL,2,0,0,0.0,851.28,0.0,,Low Value,No Action Required
CUST_000140,21,F,19.4,49.43,1100.31,One year,Bank transfer,Fiber optic,3,0,0,0.12483184433557513,1186.32,148.09051357217947,Low Risk,Low Value,No Action Required
CUST_000141,43,F,9.6,20.27,362.47,Two year,Electronic check,DSL,1,1,0,0.25231893132546823,486.48,122.74811371121379,Low Risk,Low Value,No Action Required
CUST_000142,59,F,30.6,90.18,2556.4,Month-to-month,Mailed check,Fiber optic,1,2,1,0.3471051557214636,2164.32,751.2466306310782,Medium Risk,High Value,Proactive Engagement
CUST_000143,18,F,24.8,96.78,2506.46,One year,Electronic check,Fiber optic,2,0,0,0.2213636213886007,2322.7200000000003,514.1657106717306,Low Risk,High Value,No Action Required
CUST_000144,42,F,9.7,56.82,576.92,Month-to-month,Mailed check,DSL,0,0,0,0.3120563949243613,1363.68,425.54506463045306,Medium Risk,Medium Value,Basic Monitoring
CUST_000145,43,M,33.7,57.55,2034.38,One year,Bank transfer,DSL,5,1,0,0.06357643172552672,1381.1999999999998,87.8117674992975,Low Risk,Medium Value,No Action Required
CUST_000146,51,M,25.1,76.33,1861.34,Month-to-month,Bank transfer,Fiber optic,2,1,0,0.29608926973887123,1831.92,542.411855020033,Low Risk,High Value,No Action Required
CUST_000147,21,M,24.3,101.86,2303.51,Month-to-month,Bank transfer,DSL,2,1,1,0.29129201969675356,2444.64,712.1041230314715,Low Risk,High Value,No Action Required
CUST_000148,20,F,19.3,75.22,1513.69,One year,Bank transfer,Fiber optic,1,3,0,0.11267202323422253,1805.28,203.40455010427723,Low Risk,Medium Value,No Action Required
CUST_000149,47,F,1.0,47.56,-46.54,Month-to-month,Bank transfer,Fiber optic,0,0,0,0.3162170687848544,1141.44,360.94281099378424,Medium Risk,Low Value,Basic Monitoring
CUST_000150,44,M,28.6,24.53,563.14,One year,Bank transfer,DSL,4,1,0,0.22074608876884955,588.72,129.95763737999712,Low Risk,Low Value,No Action Required
CUST_000151,43,F,11.3,37.12,288.38,One year,Mailed check,Fiber optic,0,1,0,0.05400365819679318,890.8799999999999,48.1107790143591,Low Risk,Low Value,No Action Required
CUST_000152,45,F,68.6,66.83,4643.94,One year,Mailed check,No,2,1,0,0.1636933860878738,1603.92,262.55109581406253,Low Risk,Medium Value,No Action Required
CUST_000153,29,F,40.9,48.62,2001.79,Two year,Electronic check,Fiber optic,4,1,1,0.3449375080318833,1166.8799999999999,402.5006793722439,Medium Risk,Low Value,Basic Monitoring
CUST_000154,43,M,21.3,69.87,1564.04,Month-to-month,Credit card,No,3,0,0,0.28978186157701,1676.88,485.9294080412566,Low Risk,Medium Value,No Action Required
CUST_000155,44,M,7.0,51.18,423.83,Month-to-month,Mailed check,DSL,2,5,1,0.6603535074608324,1228.32,811.1254202842897,Medium Risk,Low Value,Basic Monitoring
CUST_000156,29,M,5.5,38.55,168.65,Two year,Mailed check,Fiber optic,1,1,0,0.05047202153346225,925.1999999999999,46.69671432275927,Low Risk,Low Value,No Action Required
CUST_000157,67,M,10.0,35.57,348.21,One year,Credit card,Fiber optic,3,0,0,0.0593094184164838,853.6800000000001,50.631264313783895,Low Risk,Low Value,No Action Required
CUST_000158,47,M,15.5,104.06,1565.55,Month-to-month,Credit card,No,3,2,1,0.27990262019018186,2497.44,699.0399997677678,Low Risk,High Value,No Action Required
CUST_000159,22,F,8.4,87.22,713.89,Two year,Electronic check,DSL,0,2,0,0.3704433709942794,2093.2799999999997,775.441699634905,Medium Risk,High Value,Proactive Engagement
CUST_000160,49,F,17.4,108.26,1783.05,Month-to-month,Electronic check,DSL,0,3,1,0.5764819677892588,2598.2400000000002,1497.8385079887637,Medium Risk,High Value,Proactive Engagement
